order_id,klient,produkt,kategoria,miasto,ilosc,cena_jednostkowa,data_zamowienia,email,wartosc_zamowienia,rok,miesiac,nazwa_dnia,email_poprawny
1001,Jan Nowak,Mysz,Akcesoria,Kraków,2,199.99,2025-06-13,brak_emaila,399.98,2025,6,Friday,False
1002,Anna Kowalska,Monitor,Elektronika,Kraków,1,399.0,2025-04-09,marta@gmail.com,399.0,2025,4,Wednesday,True
1005,Piotr Wiśniewski,Mysz,Elektronika,Gdańsk,1,1499.0,2025-02-05,anna@gmail.com,1499.0,2025,2,Wednesday,True
1006,Magdalena Dąbrowska,Laptop,Akcesoria,Warszawa,1,299.99,2025-07-04,tomasz@interia.pl,299.99,2025,7,Friday,True
1007,Katarzyna Lewandowska,Monitor,Akcesoria,Łódź,1,1499.0,2025-10-11,marta@gmail.com,1499.0,2025,10,Saturday,True
1008,Piotr Wiśniewski,Laptop,Elektronika,Poznań,3,199.99,2025-05-24,anna@gmail.com,599.97,2025,5,Saturday,True
1010,Anna Kowalska,Mysz,Elektronika,Warszawa,1,199.99,2025-05-10,tomasz@interia.pl,199.99,2025,5,Saturday,True
1011,Tomasz Zieliński,Pendrive,Elektronika,Wrocław,1,2999.0,2025-09-28,marta@gmail.com,2999.0,2025,9,Sunday,True
1013,Anna Kowalska,Mysz,Akcesoria,Gdańsk,2,199.99,2025-05-23,anna@gmail.com,399.98,2025,5,Friday,True
1014,Marta Wójcik,Klawiatura,Akcesoria,Gdańsk,2,1499.0,2025-06-29,anna@gmail.com,2998.0,2025,6,Sunday,True
1015,Magdalena Dąbrowska,Słuchawki,Akcesoria,Warszawa,1,89.5,2025-04-06,marta@gmail.com,89.5,2025,4,Sunday,True
1016,Magdalena Dąbrowska,Webcam,Elektronika,Poznań,2,89.5,2025-04-09,piotr.w@onet,179.0,2025,4,Wednesday,False
1017,Anna Kowalska,Monitor,Akcesoria,Warszawa,1,2999.0,2025-02-23,anna@gmail.com,2999.0,2025,2,Sunday,True
1018,Jan Nowak,Mysz,Elektronika,Wrocław,2,399.0,2025-08-09,JAN@WP.PL,798.0,2025,8,Saturday,True
1019,Krzysztof Kamiński,Laptop,Elektronika,Poznań,5,1499.0,2025-04-10,marta@gmail.com,7495.0,2025,4,Thursday,True
1020,Anna Kowalska,Mysz,Elektronika,Wrocław,2,1499.0,2025-10-05,anna@gmail.com,2998.0,2025,10,Sunday,True
1021,Anna Kowalska,Monitor,Akcesoria,Poznań,5,199.99,2025-07-21,tomasz@interia.pl,999.95,2025,7,Monday,True
